E248,ReplyLegacy,Reply
E249,Favorite2Legacy,Favorite filled
E24E,Unfavorite2Legacy,Unfavorite
E25A,MobileContactLegacy,Mobile contact
E25B,BlockedLegacy,Blocked contact
E25C,TypingIndicatorLegacy,Typing indicator
E25D,PresenceChickletVideoLegacy,Video presence chicklet
E25E,PresenceChickletLegacy,Presence chicklet
E294,Scan,
E295,Preview,
E707,Mappin,
E70F,Edit,
E711,Cancel,
E712,More,
E713,Settings,
E714,Video,
E715,Mail,
E716,People,
E717,Phone,
E718,Pin,
E719,Shop,
E71A,Stop,
E71B,Link,
E71C,Filter,
E71E,Zoom,
E71F,ZoomOut,
E720,Microphone,
E722,Camera,
E723,Attach,
E724,Send,
E728,FavoriteList,
E72A,Forward,
E72B,Back,
E72C,Refresh,
E72D,Share,
E730,ReportHacked,
E734,FavoriteStar,Favorite outlined
E734,FavoriteStar,
E735,FavoriteStarFill,
E735,FavoriteStarFill,
E738,Remove,
E739,Checkbox,Checkbox
E73A,CheckboxComposite,Composite checkbox
E73B,CheckboxFill,Filled checkbox
E73C,CheckboxIndeterminate,Indeterminate state
E73D,CheckboxCompositeReversed,Reversed composite
E73E,CheckMark,Check mark
E73F,BackToWindow,
E740,FullScreen,
E74A,Up,
E74D,Delete,
E74E,Save,
E74F,Mute,
E753,Cloud,
E765,KeyboardClassic,
E767,Volume,
E768,Play,
E769,Pause,
E76E,Emoji2,
E774,Globe,
E778,Hangup,
E779,ContactInfo,
E77A,UnPin,
E77B,Contact,
E77C,Memo,
E77F,Paste,
E780,PhoneBook,
E786,Slideshow,
E787,Calendar,
E78A,Trim,
E78B,NewWindow,
E78C,SaveLocal,
E7A6,Redo,
E7A7,Undo,
E7A8,Crop,
E7AC,OpenWith,
E7AD,Rotate,
E7B5,SetLockScreen,
E7C1,Flag,
E7C3,Page,
E7C5,BrowsePhotos,
E7C6,HalfStarLeft,"Half star, left side"
E7C7,HalfStarRight,"Half star, right side"
E7C9,TouchPointer,
E7E6,Highlight,
E7EE,OtherUser,
E7F0,CC,
E80F,Home,
E81D,Location,
E830,ChromeBack,Chrome back button
E83E,BatteryCharging9,
E83F,Battery10,
E850,Battery0,
E851,Battery1,
E852,Battery2,
E853,Battery3,
E854,Battery4,
E855,Battery5,
E856,Battery6,
E857,Battery7,
E858,Battery8,
E859,Battery9,
E85A,BatteryCharging0,
E85B,BatteryCharging1,
E85C,BatteryCharging2,
E85D,BatteryCharging3,
E85E,BatteryCharging4,
E85F,BatteryCharging5,
E860,BatteryCharging6,
E861,BatteryCharging7,
E862,BatteryCharging8,
E863,BatterySaver0,
E864,BatterySaver1,
E865,BatterySaver2,
E866,BatterySaver3,
E867,BatterySaver4,
E868,BatterySaver5,
E869,BatterySaver6,
E86A,BatterySaver7,
E86B,BatterySaver8,
E890,View,
E892,Previous,
E893,Next,
E894,Clear,
E895,Sync,
E896,Download,
